Company,Rating,Reviews,Salaries,Interviews,Jobs,Benefits
Crompton Greaves Consumer Electricals,3.7,(1.1k),4k,60,45,6
Xyz Company,3.8,(1.1k),48.5k,543,--,63
BDR Pharmaceuticals International,4.2,(1.1k),2.1k,163,7,59
Writer Information Management Services,3.2,(1.1k),3.6k,53,--,52
QX Global Group,3.0,(1.1k),4.6k,176,104,45
Bajaj Capital Insurance Broking Limited,4.3,(1.1k),1.3k,230,2,41
Greenko Group,3.9,(1.1k),3.8k,74,--,100
Hindustan Zinc,3.7,(1.1k),4.4k,57,11,106
Gharda Chemicals Limited,3.9,(1.1k),4.8k,83,68,105
Jet Airways,4.6,(1.1k),1.8k,26,--,180
Nexa,3.9,(1.1k),2.3k,41,--,103
Zf Rane Automotive,3.9,(1.1k),3.9k,66,5,136
Vertiv,3.7,(1.1k),4.7k,62,209,7
Netcracker Technology,3.0,(1.1k),9.3k,145,--,87
Wheels,3.9,(1.1k),5.2k,73,4,73
Klm Axiva Finvest,4.4,(1.1k),797,438,10,6
BirlaNu,3.8,(1.1k),2.9k,74,32,71
Otis Elevator,4.1,(1.1k),4.2k,65,125,87
Atlas Copco,4.1,(1.1k),5.5k,102,--,94
GVPR Engineers,3.8,(1.1k),3.1k,78,12,146
ValueMomentum,3.2,(1.1k),9k,100,30,60
IB Group,3.7,(1.1k),3.3k,84,1,51
Thomas Cook,4.1,(1.1k),3.7k,101,--,103
Bharat Sanchar Nigam,3.8,(1.1k),2.6k,49,--,101
GlobalData,3.3,(1.1k),5.5k,95,27,105
ALLEN Career Institute,3.7,(1.1k),4.5k,73,43,43
Spencer's Retail,3.8,(1.1k),2.8k,68,4,97
Lakshmi Machine Works,3.8,(1.1k),4.3k,62,54,70
NBC Bearings,3.9,(1.1k),3.7k,112,3,46
Nippon Life India Asset Management,4.6,(1k),1.6k,158,73,26
Hitachi Payment Services,3.6,(1k),3.5k,56,31,67
Uber,4.1,(1k),8.7k,175,30,107
Allianz Technology,4.0,(1k),6.9k,73,6,115
Skipper,3.9,(1k),3.2k,88,6,72
Kinara Capital,4.2,(1k),2.2k,93,30,152
Amara Raja Group,4.1,(1k),3.5k,75,--,104
Syrma SGS Technologies,4.0,(1k),3.5k,74,7,6
Tata Cummins,4.4,(1k),1.5k,89,--,2
United Breweries,3.3,(1k),3.5k,56,37,94
Vistaar Finance,3.9,(1k),2.2k,36,26,142
Ceasefire Industries,3.1,(1k),2.4k,122,7,77
Siemens Energy,4.0,(1k),6.2k,102,4,72
Suzuki Motorcycle,4.0,(1k),4k,52,3,89
Comviva Technology,2.7,(1k),6.3k,88,101,80
SitusAMC,3.3,(1k),5.4k,73,--,46
MakeMyTrip,3.5,(1k),7.7k,148,55,103
iQor Global Services,3.4,(1k),2.6k,47,29,117
Perfetti Van Melle,4.2,(1k),2.9k,38,10,96
Skoda Auto Volkswagen India,3.9,(1k),4.8k,50,14,84
Fortrea Development India Private Limited,3.9,(1k),5k,87,59,58
Visionet Systems,3.3,(1k),6k,79,20,91
Secure Meters,3.9,(1k),4.6k,88,40,104
Vaco Binary Semantics,3.0,(1k),5.4k,96,40,78
Arohan Financial Services,3.9,(1k),2.1k,41,12,65
Westside,3.7,(1k),2.1k,57,--,80
Zudio,3.9,(1k),2.2k,65,--,26
Lemon Tree Hotels,4.0,(1k),2.8k,62,2,138
Motherson Sumi Wiring,3.7,(1k),4.1k,106,9,13
Bounteous,3.2,(1k),8.4k,249,184,112
Merino Industries,3.7,(1k),3.6k,80,20,76
Sahara India Pariwar,3.9,(1k),2.5k,29,--,100
Colgate Palmolive,4.0,(1k),4.5k,89,53,121
Star Cement,4.0,(1k),3.2k,89,2,96
TradeIndia (Infocom Network Private Limited),3.4,(1k),4.5k,88,34,65
Cult.fit,3.5,(1k),4.2k,84,168,83
AstraZeneca,3.8,(1k),7.5k,70,1,152
MasterCard,3.8,(1k),13.3k,173,443,106
Aparajitha Corporate Services,3.8,(1k),3k,55,9,65
Temenos,3.2,(1k),8.6k,96,16,59
Incheon Motors,4.7,(1k),351,297,7,7
Pristyn Care,3.1,(1k),4.3k,84,15,149
VeeTechnologies,4.0,(1k),4.4k,132,12,93
Mastek,3.6,(1k),6.6k,134,38,46
Tiger Analytics,3.7,(1k),10.8k,260,58,39
Collins Aerospace,3.8,(1k),7.9k,88,11,106
eClinicalWorks,3.5,(1k),5k,78,7,160
Xebia,3.0,(1k),6.6k,97,24,229
Amazon Web Services,3.7,(1k),6.9k,194,--,83
Technip Energies,4.0,(1k),5.4k,93,13,46
CarDekho Group,3.6,(1k),5.1k,87,44,115
Wonder Cement,4.2,(1k),3.6k,64,100,65
JSW Group,3.8,(1k),4.5k,135,--,62
C&S Electric,3.9,(1k),3.8k,68,16,98
Mahindra Automotives,3.8,(1k),5.1k,49,--,41
National Payments Corporation of India,4.0,(1k),4.4k,106,41,38
SYSKA LED Lights,2.9,(1k),2.4k,58,--,80
Quantiphi Analytics Solutions Private Limited,3.1,(1k),7.8k,210,106,59
Lumina Datamatics,3.2,(1k),4.7k,64,75,51
Entain,3.6,(1k),7.4k,143,--,94
Rebel Foods,3.7,(1k),3.5k,78,29,63
JW Marriott,4.2,(1k),2k,50,--,157
Capacit'e Infraprojects,3.7,(1k),3.3k,80,12,68
Jyothy Labs,4.0,(1k),2.3k,57,26,77
Marsh McLennan,3.8,(1k),8.8k,54,57,78
Softenger,4.0,(999),2.7k,75,6,165
KEI Industries,4.2,(999),3.2k,71,2,95
Everest Industries,3.8,(998),3.3k,64,25,91
Psp Projects,3.8,(998),3.1k,81,7,47
J B Chemicals And Pharmaceuticals,3.9,(998),3.4k,66,11,83
Lowe's,4.0,(998),10.4k,156,69,132
Yokohama Off-Highway Tires,3.7,(997),4.3k,71,2,36
General Mills,4.1,(996),5.3k,87,10,120
TechnipFMC,3.9,(994),4.9k,84,38,108
Natco Pharma,4.0,(994),3.5k,56,--,89
Napino Auto & Electronics,3.9,(994),4k,67,2,79
Pizza Hut,4.1,(993),2k,50,--,83
Salcomp Manufacturing,4.0,(991),4.5k,89,5,76
Barclays Global Service Centre,3.9,(991),8k,102,--,142
Hiranandani Financial Services,4.4,(989),1k,208,18,24
Kendriya Vidyalaya Sangathan,4.3,(988),1.7k,69,--,66
Financial Software & Systems,3.6,(987),5.1k,75,12,65
VIP Industries,3.7,(986),3.1k,51,18,89
Defence Research & Development Organisation,4.4,(986),4k,78,--,92
Guidehouse,3.6,(987),5.9k,81,118,46
LOREAL,3.7,(986),3.9k,69,63,103
Astral Adhesives,3.8,(985),2.6k,57,--,61
Shriram General Insurance,3.6,(984),2.8k,42,28,54
Pricol,3.9,(984),4.3k,55,8,91
Altisource,3.5,(978),3.5k,45,12,138
JSW Paints,3.7,(976),3.3k,103,1,35
Xceedance,3.5,(975),6.8k,135,--,85
Pramerica Life Insurance,3.7,(971),2.5k,42,24,70
Adani Enterprises,3.7,(969),5k,108,10,80
LanceSoft,3.2,(969),5.7k,77,42,52
Cohance Lifesciences,3.9,(969),3.2k,42,4,45
Gannon Dunkerley & Co.,3.4,(966),1.9k,44,3,117
SFO Technologies,3.4,(966),4.9k,49,55,70
Signify,3.4,(965),4.6k,64,39,84
Navayuga Engineering Company,3.9,(965),2.5k,66,11,91
Timken,3.9,(965),4.3k,62,--,105
Amphenol Interconnect,4.2,(965),3.8k,53,13,70
Jaro Education,3.2,(964),2.3k,119,30,62
Velocis Systems,3.8,(963),5.3k,71,10,55
Nasser S. Al Hajri Corporation,3.6,(963),1.8k,42,--,98
ICCS,3.0,(962),2.9k,68,10,49
KMV Projects Limited,4.3,(961),2.3k,64,2,89
Knight Frank,4.0,(960),3.3k,61,9,80
Aristo Pharmaceuticals,3.9,(961),2.6k,55,3,71
Regulated Council of Immigration Consultants,4.9,(956),--,--,--,--
Mando Automotive,4.0,(956),4.2k,55,--,125
Bhanzu,3.7,(955),1.3k,195,1,7
Godfrey Phillips India,4.0,(953),3.3k,44,4,107
Reliance Power,4.1,(952),3.3k,68,5,73
FLSmidth,3.6,(952),4.2k,46,22,112
Episource,3.9,(952),2.7k,229,--,81
Petrofac,4.3,(951),2.4k,47,--,118
FastInfo,4.2,(951),916,115,--,358
"Commonwealth Bank of Australia, India",2.7,(951),8.2k,116,1,53
Tikona Infinet,3.4,(951),2.6k,33,6,90
Sandhar Technologies,3.7,(950),3.5k,58,30,76
Jubilant Pharmova,3.7,(950),3.3k,63,62,114
Hathway,3.4,(949),3.5k,50,4,82
CIEL HR,3.9,(949),3.3k,75,2,58
Volvo,4.0,(949),5.7k,81,7,96
Target,4.0,(947),7.2k,144,100,93
Medha Servo Drives,4.2,(946),3.2k,94,17,112
Bayer,4.0,(945),4.5k,62,--,138
Tafe Motors & Tractors,3.9,(944),3.1k,61,--,26
Steag Energy Services,4.3,(943),2.8k,52,1,107
Medhaj Techno Concept,4.0,(943),2k,61,3,166
Apotex Research,3.7,(942),2.9k,38,34,109
Naukri,4.1,(939),3.3k,232,1,120
Intellipaat Software Solutions,3.8,(939),2k,206,--,16
OCS Group,4.1,(938),2.6k,63,7,59
MAS Financial Services Ltd,3.6,(938),2.3k,58,58,46
SKH Metals,4.0,(937),2.9k,84,9,59
Greenlam Industries,4.1,(937),3.3k,67,15,59
Schlumberger,3.7,(936),5.6k,157,6,119
M3M India,4.1,(935),3.4k,69,--,42
Deepak Fertilisers and Petrochemicals,4.0,(935),3.5k,49,17,82
Re Sustainability Limited,3.8,(932),3.1k,62,38,82
Wakefit,3.9,(932),3.1k,83,18,32
Aviva Life Insurance India,3.4,(931),2.6k,37,8,67
Sundaram Clayton,3.9,(930),2.8k,36,11,93
GE Healthcare,3.9,(930),6.2k,87,1,100
HomeLane,3.3,(930),4.3k,95,60,70
Test Yantra Software Solutions,3.0,(929),26k,151,9,130
Nirma,4.3,(929),3.1k,54,28,123
Netscribes,2.7,(929),3k,95,39,73
HT Media,3.0,(926),4.8k,61,--,91
Orient Electric,3.7,(926),3.5k,66,31,59
Simplilearn,3.8,(925),4.7k,150,93,62
Experis IT,3.0,(925),3.8k,71,5,46
Amazon Sellers Services,4.0,(924),2.5k,135,--,105
Aircel,4.4,(923),1.2k,9,--,154
Ashirvad Pipes,3.8,(923),2.9k,70,25,89
Neel Metal Products,4.0,(922),2.7k,56,--,74
Nityo Infotech,3.2,(922),5k,98,40,48
Alok Industries,3.6,(921),3.4k,54,13,88
Vijay Sales,4.0,(920),2.9k,69,3,59
Michelin,3.7,(919),5.1k,68,16,115
Yashoda Hospitals,3.9,(918),3.5k,71,17,93
Sona Comstar,4.0,(914),4.1k,82,1,66
ACL Digital,3.6,(913),6.7k,94,148,48
Bosch Chassis Systems,4.1,(911),2.7k,48,--,113
Egis India Consulting Engineers,4.2,(911),2.3k,57,--,102
Ageas Federal Life Insurance,3.4,(910),2.4k,58,84,74
Integra Software Services,3.9,(908),3.2k,70,28,55
Updater Services,3.7,(908),2.9k,49,25,58
Musashi Auto Parts,3.8,(907),2.9k,45,5,77
Nibav Lifts,4.0,(906),1.8k,104,150,27
Wipro PARI,3.2,(906),3.8k,69,32,23
Alorica,3.1,(905),3.4k,94,89,25
Carborundum Universal Limited,3.7,(904),3.7k,39,23,64
Truhome Finance,3.6,(903),2.7k,61,29,51
WSP,4.2,(903),4.3k,111,30,28
Ups Logistics,3.6,(902),4.6k,88,178,81
Centum Electronics,3.5,(900),3.7k,32,8,112
RAMTeCH Software Solutions,3.7,(900),3.5k,47,12,59
Volkswagen,4.1,(900),3.1k,53,--,103
TNQ Tech Private Limited,3.5,(900),4.1k,67,27,69
Satya MicroCapital,3.7,(900),2.2k,70,4,48
H&M,3.8,(899),3.2k,122,37,80
Acme Cleantech Solutions,4.0,(899),2.7k,86,5,95
Apar Industries,4.1,(896),3.5k,65,14,51
Nlb Services,3.6,(895),3.3k,37,4,61
Silaris Informations,2.9,(894),3k,61,8,56
AJIO,3.6,(894),2.7k,65,--,98
Tata Chemicals,3.9,(893),2.8k,77,1,136
Epsilon,3.6,(894),7.5k,108,131,94
Ather Energy,4.1,(892),4.8k,76,12,39
IDEMIA,3.8,(892),3.8k,62,27,78
Magna International,3.8,(893),5.7k,54,67,69
Marks & Spencer,3.8,(890),3.2k,36,92,118
India Shelter Finance Corporation,3.8,(889),2.3k,38,10,39
BGR Energy Systems,3.8,(888),3.1k,47,--,121
Fedbank Financial Services,4.0,(890),3.1k,48,17,46
Shilpa Medicare,3.4,(885),3.8k,65,--,56
Tata Starbucks,4.0,(885),2k,64,431,109
MOURI Tech,3.6,(885),6.5k,77,77,57
Parag Milk Foods,3.9,(884),2.7k,81,2,59
Panacea Biotec,3.5,(883),2.8k,69,21,102
Athena BPO,3.3,(883),2.8k,58,4,59
Next Education India,3.2,(882),2.7k,50,21,124
Vedanta Limited,3.7,(882),3.2k,73,33,74
UKG,2.9,(883),6.6k,133,19,52
Metso,4.1,(882),3.3k,84,6,65
National Health Mission,3.5,(881),2.4k,36,--,53
Nexdigm,3.7,(881),3.5k,75,54,18
Rohan Builders,4.1,(881),2.4k,63,41,67
Future Focus Infotech,3.4,(878),4.1k,60,--,49
C.R.I. Pumps,3.9,(878),2.8k,36,6,77
Victura Technologies Private Limited,4.0,(877),3.4k,49,--,46
Torry Harris Integration Solutions,4.1,(876),4.6k,190,42,42
Parekh Integrated Services,4.0,(875),2.7k,42,22,92
Porter,3.5,(876),4k,103,101,59
Patel Infrastructure Limited,4.4,(874),2.1k,112,16,92
Tata Hitachi Construction Machinery,4.0,(874),3.2k,68,18,80
Swaraj Tractors,4.0,(873),2.9k,43,--,128
Shaktiman Tirth Agro Technology,3.8,(872),3k,64,1,84
enGen Global,3.8,(872),5.8k,76,62,59
Tata Power Solar,4.1,(872),3.3k,86,--,53
Casagrand,3.8,(873),4.5k,75,74,35
Jaya Hind Industries,3.7,(870),2.7k,65,2,62
KGISL,3.1,(870),5.4k,96,12,99
Union Bank of India,3.9,(871),2.9k,45,--,70
Rico Auto Industries,3.8,(869),3.5k,62,2,53
Sutherland Healthcare Solutions,3.7,(870),4.1k,49,--,56
Precision Infomatic M Pvt Ltd,3.8,(868),2.8k,57,6,29
Clarivate,3.7,(867),7k,96,65,48
Shivalik Small Finance Bank,4.2,(866),1.7k,108,4,75
Welspun Corp,4.0,(865),2.7k,50,--,53
LEAD School,3.2,(864),3.3k,95,21,75
Bechtel,3.9,(862),3.9k,74,152,90
Impact Infotech Pvt. Ltd.,3.4,(861),2.7k,59,--,80
IBS Software Services,3.5,(860),6.6k,122,71,72
AuthBridge Research Services,3.1,(859),3.1k,52,8,63
HP India,3.8,(859),6.1k,168,1,109
Sanden Vikas,4.0,(857),2.7k,58,10,75
Lumen Technologies,3.9,(857),4k,57,12,106
Rockwell Automation,3.7,(855),6k,90,426,77
Fareportal,3.0,(855),3.6k,46,5,101
BDO,3.2,(854),6.3k,60,1,21
Ascendion,3.2,(855),4.6k,129,200,8
Royal Sundaram General Insurance,3.7,(854),2.8k,24,34,61
Mahindra Tractors,4.1,(853),2.7k,57,--,3
RR kabel,4.1,(853),3k,73,4,50
Eris Lifesciences,3.6,(853),2.4k,47,13,77
Guardian India,3.8,(852),4.5k,64,4,87
Greaves Cotton,4.0,(850),3k,32,8,96
Greaves Cotton,4.0,(850),3k,32,8,96
K Raheja Corp,4.1,(850),3.3k,73,77,76
Luxoft,3.6,(850),5.4k,138,474,103
Syneos Health,3.6,(849),3.9k,64,163,50
Principal Global Services,3.6,(848),6.3k,86,66,103
Mahindra First Choice,3.8,(847),3k,41,10,77
Petpooja,4.0,(847),1.8k,98,52,90
Serco,4.2,(846),1.2k,33,--,136
Five-Star Business Finance,4.1,(846),2.1k,31,2,37
Orion Edutech,4.1,(845),1.4k,42,--,105
Medusind Solutions,3.5,(845),3.1k,37,24,102
Baxter International,3.8,(845),3.8k,54,74,90
Poly Medicure,3.5,(844),3k,84,22,49
Encore Capital Group,3.8,(844),2.1k,48,3,114
Duck Creek Technologies,4.5,(843),1.3k,87,12,399
eTeam,3.2,(842),3.7k,53,4,33
Zydus Healthcare,4.0,(841),2.3k,71,--,10
Rashmi Group,3.5,(841),3.4k,54,1,41
Waaree Energies,4.0,(841),3.5k,78,45,49
Rodic Consultants,4.2,(841),1.9k,48,15,75
Freshworks,3.3,(840),7.5k,186,28,60
Artech Infosystems,3.3,(838),3.9k,85,--,76
Feedback Infrastructure Services,3.4,(837),2.4k,47,8,90
Consolidated Contractors,4.3,(837),1.4k,39,--,166
Teamware Solutions,4.1,(837),3.3k,72,2,43
Vastu Housing Finance,4.1,(837),2.3k,57,7,147
DBG Technology,3.6,(838),2.3k,90,1,34
Bpo Convergence,3.4,(836),2.1k,67,4,37
Advik Hi Tech,3.7,(836),3.1k,63,11,68
FIITJEE,3.2,(836),2k,57,--,52
Dineshchandra R. Agrawal Infracon,4.0,(836),2.7k,65,32,39
Ford Business Solutions,4.1,(835),4.2k,54,12,29
Ugro Capital,3.7,(834),2.9k,48,46,28
Arvind Lifestyle Brands,4.0,(834),1.9k,22,60,1
Sunbeam Auto,3.9,(833),2.9k,55,--,53
Credence Resource Management,3.0,(834),3.4k,39,78,86
Universal Sompo General Insurance,4.4,(831),2.2k,163,9,52
Praj Industries,4.0,(831),3.4k,47,36,67
Y-Axis Overseas Careers,4.1,(830),1.5k,157,5,240
Ramco Systems,3.7,(830),5.4k,73,11,64
Linde India,3.9,(829),3.8k,58,--,91
JK Paper,3.8,(829),2.8k,67,16,75
Qualitest,3.6,(829),7.1k,93,5,31
Amber Enterprises India,3.9,(828),3k,60,15,43
Prama Hikvision India,3.5,(828),3.2k,67,9,45
Huhtamaki,3.9,(827),2.7k,27,3,88
Ramkrishna Forgings,3.5,(825),3.1k,68,10,62
Bill Gosling Outsourcing India,3.5,(824),2.9k,51,62,86
Qinecsa Solutions,2.7,(823),2.8k,64,1,1
Vijaya Diagnostic Centre,3.7,(823),2.2k,48,27,141
Jio-bp,3.6,(824),2.9k,79,1,29
Novac Technology Solutions,3.5,(822),5.5k,77,38,53
Border Security Force,4.5,(820),1.4k,18,--,82
Punj Lloyd,4.0,(820),1.6k,20,--,139
Aequs,3.4,(820),3.6k,61,15,52
Zuventus Healthcare,3.8,(817),2.3k,63,6,61
Prince Pipes & Fittings,4.1,(816),2.6k,57,19,59
Investors Clinic,3.5,(816),1.6k,76,20,32
AISIN,4.1,(814),2.8k,59,8,93
Nippon Koei India,4.7,(813),1.4k,166,7,31
RenewBuy,3.3,(812),2.9k,65,--,23
THE LEELA PALACES HOTELS & RESORTS,4.0,(815),2.3k,41,--,116
Ask Automotive,4.2,(812),3.1k,38,3,51
Fluor Corporation,4.1,(811),1.8k,32,178,8
Somany Ceramics,4.2,(811),2.7k,30,8,71
IFFCO,4.1,(811),2k,58,--,96
Progressive Techserve,3.2,(811),2.8k,45,19,68
PUMA,4.1,(810),2.6k,72,15,85
Eveready Industries,3.9,(810),2.5k,44,--,89
Chennai Radha Engineering Works,3.9,(810),2.3k,40,1,92
Maveric Systems,3.3,(809),7.3k,132,13,74
Hitachi,3.8,(808),5k,97,4,61
Indo Autotech,3.9,(807),2.8k,56,2,66
Engineers India,4.2,(807),3.4k,91,10,80
Radical Minds,2.8,(807),2.7k,68,17,37
Zidio Development,4.4,(806),113,173,--,2
Careernet,3.5,(806),4.6k,49,--,53
Wipro Consumer Care & Lighting,3.6,(806),3.8k,76,7,273
Franklin Templeton Investments,3.9,(806),3.9k,35,50,72
Denave,3.5,(805),2.8k,49,9,83
Axtria,2.7,(805),7.9k,136,96,78
Rallis India,4.0,(804),2.6k,46,14,80
JM Financial,3.8,(803),4k,61,1,35
Action Construction Equipment,3.7,(803),2.9k,74,1,44
Intex Technologies,3.6,(802),1.5k,20,5,99
Travel Food Services Ltd,4.0,(803),2.1k,51,1,63
Jai Balaji Group,3.2,(801),3.2k,56,--,67
Hilti,3.3,(801),3.7k,75,14,81
Microtek International,3.7,(802),2.8k,54,4,55
Wabtec,3.8,(799),4.3k,63,8,53
Creative Synergies Group,3.9,(798),2.4k,30,14,18
Wapcos,3.1,(797),2.3k,42,--,43
First Advantage,3.4,(797),4.6k,32,33,61
People Tech Group,2.3,(798),5.4k,89,16,35
Toyo Engineering,4.0,(797),3.7k,62,2,82
Forever Living Products,4.2,(796),1.7k,79,--,54
Hitachi Digital Services,3.5,(796),2.3k,70,208,51
Lenovo,4.0,(795),4.3k,60,10,62
Celebal Technologies,3.0,(794),4.8k,143,37,22
Pratap Technocrats,3.7,(795),1.9k,37,2,43
Lea Associates South Asia,4.3,(794),1.9k,34,--,84
Ksb Pumps,3.7,(793),3.4k,58,134,43
Padget Electronics,3.8,(791),2.9k,85,--,30
Neurealm,3.4,(791),6.7k,102,72,55
Edubridge Learning,3.8,(791),1.3k,67,78,156
NTT,3.9,(789),4.9k,72,1,62
Allied Digital Services,3.1,(789),3.5k,68,8,35
Fidelity International,3.5,(788),5.9k,62,100,85
Fleetguard Filters Private Limited,4.3,(788),2.8k,53,15,61
Reliance Smart,4.1,(788),2.2k,37,--,26
ManipalCigna Health Insurance,3.7,(787),3.1k,45,175,46
JioStar,3.5,(785),4.9k,65,142,25
Transrail Lighting,4.0,(785),2.7k,61,9,53
Alivus Life Sciences,3.8,(785),4.1k,42,--,45
Sterling Tools,4.5,(785),1.2k,233,11,33
Protiviti,3.0,(784),5.6k,73,7,23
Forvia Hella,3.7,(784),3.6k,51,67,81
Quatrro Business Support Services,3.2,(782),2.5k,62,4,86
Amadeus,3.7,(782),7.6k,128,33,94
Bses Rajdhani Power,3.8,(782),2.8k,60,--,67
Eastman Auto and Power Limited,3.9,(782),2.2k,111,7,36
Skill Lync,3.1,(781),3.5k,92,--,28
VA Tech Wabag,3.8,(781),3k,61,18,89
ESL Steel,3.8,(780),2.1k,38,--,90
Central Industrial Security Force,4.3,(780),2k,24,--,77
Aurigo Software Technologies,4.6,(780),1.1k,36,26,136
Creambell,3.9,(780),2.1k,44,2,77
Assystem,3.2,(780),2.2k,51,148,4
Bunge India,3.9,(780),3.2k,50,415,62
Neuland Laboratories,4.0,(779),3k,56,10,73
Mindsprint,3.5,(780),4.6k,71,12,109
National Informatics Centre,3.9,(778),4.3k,44,--,28
Ameriprise Financial,3.7,(778),5.3k,75,3,101
Exicom,4.0,(777),3.1k,61,8,74
Times Internet,3.4,(777),5.5k,74,5,72
Bitwise Solutions,3.7,(777),4.5k,59,3,128
BNP Paribas India Solutions,3.6,(776),6.4k,82,1,115
Volkswagen Group Digital Solutions [India],3.9,(776),5.1k,84,101,3
TO THE NEW,3.6,(775),6k,155,91,96
Sharda Motor Industries,3.7,(774),2.9k,57,17,87
Vaaman Engineers,3.7,(774),2.3k,75,10,61
Mott MacDonald,3.9,(774),2.9k,58,160,53
Steel Authority Of India,4.1,(773),2.2k,51,--,59
CMS Computers Limited (INDIA),3.7,(772),3.3k,43,10,58
Wipro Infrastructure Engineering,3.7,(771),4k,63,13,89
India Japan Lighting,4.1,(771),2.7k,68,6,72
UnitedLex,2.6,(771),3.8k,75,44,61
Zee Entertainment Enterprises,3.4,(770),4.4k,57,37,51
HSBC Software Development,4.0,(769),7.9k,29,--,3
McDermott International,4.2,(769),3.6k,65,64,75
Veradigm,3.7,(769),3.5k,43,66,1
Finolex Cables,3.7,(768),2.6k,45,12,49
Greenply,3.8,(768),2.5k,57,2,53
Google Operations Center,3.5,(765),4.3k,104,--,49
JSW Energy,4.1,(764),4k,61,12,42
Stellantis,3.4,(764),5.4k,68,--,24
Livguard,3.9,(763),2.4k,45,--,16
Samsung E&A,4.0,(762),2.4k,72,--,113
Eugia Pharma Specialities,4.0,(762),2.9k,49,--,38
Integreon,3.2,(761),4k,57,36,86
Religare,3.6,(761),2.5k,36,23,32
Hapag-Lloyd,3.8,(761),3.2k,30,3,74
Smollan Group,3.9,(761),1.9k,51,7,43
Better.com,3.0,(760),3.8k,56,8,122
India Cements,3.8,(760),2.7k,53,8,66
Rackspace,3.6,(760),4.6k,86,6,60
Brane Enterprises,2.1,(760),3.7k,151,--,20
BCD Travel,4.3,(759),1.8k,152,12,40
Trianz,3.7,(759),4.8k,61,45,61
LifeCell International,3.3,(759),2.9k,53,59,70
R.V.R. PROJECTS,3.8,(759),1.9k,71,17,34
Primus Global Technologies,3.7,(758),3.2k,26,--,62
RITES,3.9,(758),2.6k,41,4,63
Care Hospital,4.1,(758),2.2k,36,77,69
LG Soft India,2.6,(757),4.7k,116,40,73
Boeing,3.8,(756),7.1k,103,28,66
Dunzo,3.5,(756),3.1k,71,--,26
Electrosteel Casting,3.6,(755),2.9k,57,--,42
EMERSON PROCESS MANAGEMENT,4.0,(754),4.6k,66,--,77
CADD Centre Training Services,3.9,(752),2k,38,4,91
Deepak Nitrite,3.8,(753),3.2k,52,36,74
Isuzu Motors,4.1,(752),3k,56,1,89
1 India Family Mart,4.6,(751),1.5k,39,--,42
KreditBee,3.7,(751),3.5k,69,29,43
B. G. Shirke Construction Technology,4.1,(749),2.7k,44,11,90
Genus Power Infrastructures,3.9,(749),3k,71,2,53
Redcliffe Labs,3.9,(749),1.9k,72,18,61
ASG Eye Hospital,3.5,(749),1.8k,62,111,40
Mswipe Technologies,3.2,(748),2.4k,36,5,57
Sun Life Financial,3.8,(748),4.2k,55,198,115
ReSource Pro,3.7,(748),4k,139,36,55
V-Trans,3.8,(748),2k,34,--,56
bp,3.7,(747),4.8k,97,27,33
Sterlite Power,4.1,(747),3.3k,40,17,72
BDO INDIA SERVICES PRIVATE LIMITED,3.1,(746),3.9k,94,186,43
Galfar,3.8,(746),1.9k,32,--,83
AI Airport Services,3.2,(747),1.7k,49,--,7
SLK Global Services,4.0,(744),2.5k,35,1,95
Mitsubishi Electric India,4.2,(745),3k,48,7,62
The Akshaya Patra Foundation,4.4,(744),2k,62,9,65
Delta Electronics,3.8,(745),3.7k,69,4,45
Turtlemint,3.7,(744),2.6k,60,4,34
Ag Industries,4.0,(743),2.8k,60,10,59
Koch Business Solutions,3.1,(743),5.2k,71,--,50
McKinsey & Company,3.8,(742),8.8k,252,7,68
OLX India,3.8,(741),3.3k,69,11,113
Home First Finance Company India,3.5,(740),2.7k,67,296,30
Evision Technoserve,4.8,(740),213,324,--,24
GirnarSoft,3.6,(739),3.3k,35,4,99
Tredence,3.3,(739),7.1k,154,174,50
Shalby Hospitals,4.2,(737),2.2k,113,56,57
BDO RISE Private Limited,3.6,(737),3.3k,98,28,31
Nvidia,3.5,(736),5.6k,134,279,70
Razorpay,3.4,(737),7k,178,5,45
Indusind Marketing & Financial Services,3.7,(735),1.6k,33,--,61
Tavant Technologies,3.8,(733),6.4k,81,75,94
URC Construction,3.6,(733),2.6k,75,--,34
TDK India Private Limited,3.9,(733),2.3k,47,29,62
Molex,3.9,(732),4k,71,--,65
Kissht Finance,3.9,(733),2.1k,97,28,56
Molex,3.9,(732),4k,71,--,65
Expleo Solutions,3.5,(731),4.8k,75,3,27
Bikanervala,3.9,(731),2.1k,31,--,61
Bristlecone,3.6,(730),6.2k,76,102,57
Bahwan CyberTek,3.3,(729),5k,53,401,28
Rentokil Pest Control,3.5,(730),2.1k,44,346,76
DuPont,4.2,(726),3k,45,18,96
Vertex Customer Solutions,3.6,(726),1.1k,16,--,87
Thriveni Earthmovers,3.9,(725),2.6k,65,--,91
Lavender Technology,4.9,(724),19,4,--,53
Medreich,3.9,(724),3k,63,5,71
Infor Global Solution,3.9,(724),6.9k,85,5,68
Cotiviti,3.5,(724),4.8k,90,24,58
Biba Apparels,3.5,(723),2.2k,51,--,68
Visteon,3.1,(723),4.7k,63,226,50
NecLife,3.5,(722),2.3k,62,2,55
Goodyear,3.5,(722),2.7k,75,13,53
Jubilant Ingrevia,3.8,(723),3k,55,--,27
PrimEra Medical Technologies,3.5,(721),4k,73,23,43
